,title,views
84,"""갈로아 님과 아무 곤충말 대잔치""",0
85,"""【침터뷰/자이언티 편】 뮤지션을 넘어 프로듀싱까지 넘보다 (with 슬리피, 박준우)""",0
86,"""흑표범 밍키가 새 식구로 들어오다""",1
87,"""평균나이 39세의 재롱 (게임회사에서 살아남기 비하인드)""",0
88,"""추악한 촉나라의 이중성""",1
89,"""나도 먹어본다 차돌짬뽕""",1
90,"""중국 요리 월드컵 64강""",0
91,"""5억 년 버티고 천만 원 받기 vs 그냥 살기""",1
92,"""【왕날편】 19/08/09 척추가 건강하려면 공부를 안해야 한다""",0
93,"""아서 해로우는 해로운가? '문나이트' 릴레이 랜선 GV 6회""",1
94,"""【마블삼국지】 1화 - 병궈의 칠종칠금 체험기""",0
95,"""【침펄풍】 틈만 나면 책상에 개짓거리하던 학창시절 공감이야기""",0
96,"""순두부는 왜 뚝배기에 나와야 하는가?""",1
97,"""경력 40년 과자 전문가의 아들, 침착맨이 뽑은 최고의 파이형 과자 월드컵""",1
98,"""침펄인물사전 | 7장 조세호 편""",0
99,"""여행 유튜버 빠니보틀 & 곽튜브 초대석""",1
100,"""패티가 4장, 혈관 파괴 버거킹 스태커4 먹방""",1
101,"""【마블삼국지】 6화 - 배신은 타이밍이다""",0
102,"""이닦기 대장 이쏘영""",0
103,"""【침&펄】 김풍 작가님 결혼식 후기 & 토크""",0
104,"""오징어 게임 (Squid Game, 2021) 감상회""",1
105,"""히오스 대회 직관 중 의도치 않은 침착맨의 똥참기""",0
106,"""【침터뷰/레이지본 편】 1부 - 22년 전통 스카펑크 잘하는 집""",0
107,"""침착맨의 오목은 전설이다?""",0
108,"""치킨에 감자튀김을 코팅하면? 별로 맛있는 포테킹""",1
109,"""【다크 세라핌】 13화 - 천계의 천사들""",0
110,"""라면과 가장 잘 어울리는 짝꿍 월드컵""",1
111,"""가장 묘사를 잘한 삼국지 일러스트 월드컵""",0
112,"""음모론 & 미스터리 월드컵""",1
113,"""인공지능과의 연애""",1
114,"""【침&펄 영화 만들기】 음악영화 '주기에르 살리에르'""",0
115,"""게임 시키려는 사람 vs 게임 안하려는 사람""",0
116,"""미국식 덮밥""",1
117,"""【침터뷰/홍진호 편】 하이라이트""",0
118,"""하이큐 딱히 좋아하지 않는 사람""",1
119,"""MT의 꽃 마피아""",0
120,"""솔로몬의 72악마 설명회""",1
121,"""침&펄 팬아트 감상회""",1
122,"""'로켓 과학' 특강 | 제1부 비둘기부터 로켓까지""",1
123,"""수업 중 짜릿한 쾌감 모음! 수업시간 딴 짓 월드컵""",0
124,"""지각은 왜 하는가?""",0
125,"""'히어로의 과학' 특강 | 제2부 하루종일 설명할 수도 있어""",1
126,"""과학으로 본 켄타우로스 바지 입는 법""",1
127,"""농심 브랜드관 둘러보기""",1
128,"""사람만한 감자칩을 선물 받다""",1
129,"""희대의 라이벌 월드컵""",1
130,"""듣기 싫은 꼰대어 월드컵""",1
131,"""침착맨 노래방 | '호랑나비' 외 5곡""",0
132,"""저가요 거위인데요""",0
133,"""침착곤충기 - 남이섬 하늘소의 수상한 밀회""",0
134,"""천지를 먹다 2 | 근육남들이 하루종일 피땀 흘리는 게임""",0
135,"""가장 열받는 주호민 월드컵""",1
136,"""【침터뷰/슈카 편】 2부 - 주식투자는 안해도 되지만 투자는 해야한다""",1
137,"""대항해시대 2 | 제2화 불운한 판 코사""",0
138,"""녹차 먹인 돼지로 만든 버거""",0
139,"""쏘영이와 벼룩시장 '하필 옆집이 포켓몬 카드를 파네?'""",0
140,"""오랜만에 버거형제""",0
141,"""침착곤충기 - 영종도 메뚜기나비""",0
142,"""【왕날편】 20/01/30 사생팬의 반대말은 사생스타""",0
143,"""김성모 유니버스 명장면 월드컵 128계단이다?""",1
144,"""우리 동네 3경 자랑하기""",0
145,"""한우로 만든 패티를 두 장이나 넣은 폭력적인 버거""",0
146,"""그림은 어떻게 그리는가?""",0
147,"""침착맨 삼국지 원소전""",1
148,"""한화가 4연패 중이어서 고민인 한화 팬(치과의사 매직박)""",0
149,"""쏘영무술(炤瑛武術)""",0
150,"""분모자 쌤, 김 D.한 그리고 안산 트린다미어""",0
151,"""【하스스톤/모험】 달라란 침공 3장 하이라이트""",0
152,"""밀린 선물 대개봉 (부제: 저 XX는 뭐 해주기가 싫어)""",0
153,"""【침펄풍 | 식욕감퇴 먹방】 다른 햄버거 먹어도 됩니까? 버거킹""",0
154,"""기안84의 前동거인 침착맨이 말하는 기안84 월드컵""",1
155,"""침착맨 연대기 1: 닉네임 편""",0
156,"""【전쟁시대】 인류의 발전을 한눈에 압축한 추억의 플래시게임""",0
157,"""이젠 공성도 비스포크로""",1
158,"""세상 속 좁은 소인배 월드컵""",1
159,"""침착맨 팀의 X맨은 누구? -  X-MAN of LEGION""",1
160,"""몸에 좋은 담배 '배담'과 '낭심이격빤스'""",1
161,"""'로켓 과학' 특강 | 제1부 비둘기부터 로켓까지""",1
162,"""하피자 특) 칼로리 눈치 봄""",1
163,"""상업유튜버""",1
164,"""유튜브의 대항마는 존재하는가?""",0
165,"""기상이 힘든 당신을 위한 알람 추천""",0
166,"""내가 왕인데 방심하면 죽는 게임 【왕의 삶】""",1
167,"""침착맨의 뿌리를 찾아서 | 3화 안산 편(完)""",0
168,"""현실까지 넘어 온 인터넷 신조어 월드컵""",1
169,"""【침착맨X주호민】 이거 알면 아재""",1
170,"""한명이 모임에 참석하지 않으면 생기는 일""",0
171,"""신기한 과자 시식회""",1
172,"""미국 여행은 어디까지 대체 가능한가""",0
173,"""【침터뷰/배성재 편】 하이라이트""",0
174,"""【하스스톤/투기장】 까마귀의 해 종강, 성기사 12승 강의 #1""",0
175,"""침&펄 M/V - 그건 아마 우리의 잘못은 아닐거야""",1
176,"""【하스스톤/투기장】 상어 그랄 너 지금 뭘 처먹는거야?""",0
177,"""호빵업계 어디까지 가는가""",1
178,"""의식이 흘러가는 대로 푸는 썰""",0
179,"""라면계의 평양냉면""",1
180,"""침펄풍 연애특강""",1
181,"""【식욕감퇴 먹방】 햄버거 들고 방문한 쏘영마미 (가짜뉴스 주의)""",1
182,"""동심 속으로... 그때 그 시절 추억의 놀이 월드컵""",0
183,"""추운 날씨엔 장칼국수""",1
184,"""최악의 음식 조합 월드컵""",1
185,"""【어센던트 원】 2부 - 한 방 한 방이 무반동총 아르테미스""",0
186,"""실버 솔랭에서 오더라는 것을 해봄""",1
187,"""월드컵 개막전과 지스타 방문 후기""",0
188,"""여행 유튜버 빠니보틀 & 곽튜브 초대석""",1
189,"""버거에서 느껴지는 생선의 좋은 비린내""",1
190,"""'로켓 과학' 특강 | 제1부 비둘기부터 로켓까지""",1
191,"""【메이플스토리】 다시 오른다! 인내의 숲 (feat. 옥&철)""",0
192,"""침착맨의 뿌리를 찾아서 | 1화 전주 편""",0
193,"""침펄인물사전 | 5장 박태준 편""",0
194,"""음식 에세이 '요즘 사는 맛' 박정민 배우님과 함께""",0
195,"""【침&펄】 따뜻한 이웃, 네가쇼님과의 고별 식사 【다이어트 먹방】""",0
196,"""【왕날편】 19/07/16 남의 시간은 시간도 아닌 침착맨""",0
197,"""베놈 & 스파이더맨""",0
198,"""이젠 공성도 비스포크로""",1
199,"""5억 년 버티고 천만 원 받기 vs 그냥 살기""",1
200,"""'히어로의 과학' 특강 | 제1부 2021년의 히어로""",1
201,"""【왕날편】 20/01/23 새로운 영상은 풋내가 나서 못 보겠습니다""",0
202,"""김성모 유니버스 명장면 월드컵 128계단이다?""",1
203,"""통닭천사의 주식일지""",0
204,"""【침펄풍】 스탠딩 코미디가 넘쳐나는 김풍 형님 결혼식 사회 준비""",0
205,"""침펄인물사전 | 9장 기안84 편""",0
206,"""돌아온 떡볶이들의 운동회""",0
207,"""【침착맨】 닌텐도 스위치 체험하기 (feat. 2대침수자)""",0
208,"""쏘영이의 생일 카드 만들기""",1
209,"""SSG 압도적 쓱케일 침착맨X주호민 편 메이킹필름""",0
210,"""현실에서는 하기 힘든 애니 속 행동 월드컵""",1
211,"""레전드 죽이는 병건 (승부에 진심인 편)""",0
212,"""소소하게 싸움나는 음식 먹는 방법 월드컵""",1
213,"""1000041000""",0
214,"""실버 솔랭에서 오더라는 것을 해봄""",1
215,"""침&펄 제주도 산책 야방""",0
216,"""스트리머컵 《C9 vs 배도라지》 하스스톤 전장 대회""",0
217,"""항상 놀 계획을 짜는 게 가장 재밌다""",1
218,"""펄vs풍 「닉변빵」 전장 대결 2부""",0
219,"""치킨에 감자튀김을 코팅하면? 별로 맛있는 포테킹""",1
220,"""'로켓 과학' 특강 | 제2부 NASA와 VSVN""",1
221,"""MT의 시작, 준비해 온 콘텐츠 자랑하기""",0
222,"""쫄병 박정민 배우와 학창시절 이야기""",0
223,"""오랜만에 히오스 배치고사! 그 결과는?""",0
224,"""침착맨의 현재 몸 상태""",1
225,"""소소하게 싸움나는 음식 먹는 방법 월드컵""",1
226,"""왜 웹툰 작가들은 카페를 차릴까?""",1
227,"""【마구마구리마스터】 알파고와 호돈신이 대결을 신청해왔다!""",0
228,"""시청자 방 훈수하기""",1
229,"""요트 쇼핑""",1
230,"""원래는 안 하려고 그랬는데 너네들 때문에 그러는 거야""",1
231,"""김성모 유니버스 명장면 월드컵 128계단이다?""",1
232,"""키보드 쇼핑""",0
233,"""공룡이 복사가 된다고""",0
234,"""주변에서 만날 수 있는 고대 이집트 3편""",1
235,"""아쉬운 추억의 과자는? 단종된 과자 월드컵""",0
236,"""처음 해보는 그래픽카드 직접 장착하기""",1
237,"""침&펄 청와대 구경하기""",1
238,"""갓보기는 배도라지가 아니었습니다~! 【다이어트 먹방】""",0
239,"""켄타우로스에 관한 고찰""",1
240,"""구찌의자 쇼핑 후기""",1
241,"""드래곤볼(Dragon Ball) 설명회""",1
242,"""안 걸어서 세계속으로""",0
243,"""침착맨의 뿌리를 찾아서 | 2화 익산 편""",0
244,"""관짝중년단""",0
245,"""하이킥 딱히 좋아하지 않는 사람""",1
246,"""원피스 '밀짚모자 일당' NEW 구조조정안""",1
247,"""포장원의 별, (뒤)지다""",0
248,"""매드안산 그리고 이말년 삼국지""",0
249,"""전무님의 할로윈 특선 요리""",0
250,"""【침&펄 디비니티】 2화 - 3명의 도적집단 (Divinity: Original Sin 2)""",0
251,"""금연과 흡연부스에 대해""",1
252,"""(혐) 한번은 들어야 하는 이야기""",0
253,"""침펄풍 연애특강""",1
254,"""우승하려면 일단 말부터 놓아야 한다""",0
255,"""가장 맛있어 보이는 포켓몬 월드컵""",0
256,"""금착맨의 골드 자부심""",1
257,"""줄구룹 사탕급양관 침착놈 & 저 못들어갔어요 주펄놈, 폐급레이드 - 침펄놈의 대모험 21화""",0
258,"""침펄인물사전 | 4장 이사배 편""",1
259,"""수요 없는 공급""",1
260,"""신기한 과자 시식회""",1
261,"""2021년은 어땠나? 2022년은 어떨까?""",1
262,"""【침&펄】 맥도날드 먹으면서 광고촬영 후기""",0
263,"""오돌뼈 덮밥과 요즘 이야기""",0
264,"""침&펄 | ibb & obb | 협동을 해야 힐링을 하는데 협동을 못해서 힐링을 못하는 게임""",0
265,"""올드보이처럼 15년 동안 갇혀서 한 음식만 먹는다면? 월드컵""",1
266,"""【年刊 침착맨】 2019년 하이라이트""",0
267,"""짤막하게 태국 촬영 후기""",0
268,"""포르쉐 쇼핑""",1
269,"""켄타우로스에 관한 고찰""",1
270,"""【다이어트 먹방 - 침X펄】 샌드위치와 컵라면""",0
271,"""사람만한 감자칩을 선물 받다""",1
272,"""소소하게 싸움나는 음식 먹는 방법 월드컵""",1
273,"""과학으로 본 켄타우로스 바지 입는 법""",1
274,"""전혀 몰라도 입문할 수 있는 침착맨 삼국지 1부""",1
275,"""전혀 몰라도 입문할 수 있는 침착맨 삼국지 4부""",1
276,"""【침착맨X쏘영이】 색깔얼음 만들기""",0
277,"""【침&펄】 견빈부터 소간지까지! 잘생긴 동물 월드컵""",0
278,"""쓸데없지만 신기한 사실 월드컵""",1
279,"""하이큐 딱히 좋아하지 않는 사람""",1
280,"""【왕날편】 19/10/29 침착맨은 뇌로결석을 앓고 있습니다""",0
281,"""경력 40년 과자 전문가의 아들, 침착맨이 뽑은 최고의 파이형 과자 월드컵""",1
282,"""호미니아 탐험대 하이라이트""",0
283,"""끝없는 수다삼매경""",1
284,"""로제떡볶이가 유행이라고?""",1
285,"""【침펄풍】 스탠드업 코미디를 배워봅시다""",0
286,"""지르려는 동생 vs 말리는 오빠""",1
287,"""명작(名作) 일본만화 월드컵 64강""",0
288,"""쏘영이가 그린 그림 맞히기""",0
289,"""【침터뷰/슈카 편】 2부 - 주식투자는 안해도 되지만 투자는 해야한다""",1
290,"""포르쉐 쇼핑""",1
291,"""삼괴권(三壞拳)의 고수를 찾아서""",0
292,"""상업유튜버""",1
293,"""치킨(Gallus gallus domesticus) 설명회""",1
294,"""이게 왜 진짜? 월드컵""",1
295,"""황당한 라이트 노벨 제목 월드컵 (※황당한 게 아니었다?!)""",1
296,"""괴상한 코믹스 캐릭터 월드컵""",1
297,"""침착맨과 영화 같이 보기: 조조 래빗 & 노인을 위한 나라는 없다""",0
298,"""삼국지 if 월드컵""",1
299,"""끓여먹는 콜드브루 커피""",1
300,"""이사한 새 스튜디오 공개 (웃음을 참지 못하는 병이 있어요)""",0
301,"""【어센던트 원】 1부 - '데브캣 스튜디오'의 신작 SF AOS게임""",0
302,"""그렇게 아버지가 된다""",1
303,"""배도라지 '매직박팀 vs 철면수심팀' 3:3 스크린야구""",0
304,"""침착맨이 수능을 풀면 몇 점을 받을까? 병건수능""",1
305,"""【메이플스토리】 '슈미의 동전' 정복하기 풀영상 (feat. 철면수심)""",1
306,"""절대 안지려는 아빠와 딸의 젤리 만들기""",0
307,"""보석털이 브이로그""",1
308,"""글로 설명하면 초상화 그려주기 - 증명그림 그려드립니다 1화""",0
309,"""최악의 연애 기념일 선물 월드컵""",1
310,"""【침&펄 | 식욕감퇴 먹방】 초밥 & 우동, 시력과 안경에 대하여""",1
311,"""대마법사 최현우의 한화 예언 (with 마법의사 매직박)""",0
312,"""대항해시대 2 | 제14화 최종병기 환상의 호민털호""",0
313,"""2021년은 어땠나? 2022년은 어떨까?""",1
314,"""노래방이 청소년 출입 금지였던 시절""",0
315,"""【왕날편】 19/11/07 짬밥보다 약밥이 우선이거든요?""",0
316,"""그것을 알려드림 비하인드 스토리""",0
317,"""전무님이 한밤 중에 관악산을 오른 이유""",0
318,"""예비 아빠 김풍 작가님 육아용품 쇼핑""",1
319,"""주변에서 만날 수 있는 고대 이집트 3편""",1
320,"""전무님의 새로운 보금자리""",0
321,"""1123 올빼미팀 화이팅""",0
322,"""【침&펄】 아이돌 애니 '샤이닝☆스타' 라디오 광고 만들기""",0
323,"""대항해시대 4 | 제9화 마약상 에스피노사 혼내주기""",0
324,"""세 명인데 피자 한 판만 시켜버림""",1
325,"""【옛날옛적에 - 침X펄X풍】 입 털어야 이기는 보드게임""",1
326,"""실제 남매가 알아본 남매 패고 싶은 순간 월드컵""",1
327,"""함부로 추측하지마! 탈룰라 가득 【추억의 식당 이야기】""",0
328,"""(※소리주의) 돌아온 미친 수학선생님 (feat. 갓보기)""",0
329,"""【침&펄】 애플 vs 안드로이드 | 타이난 샌드위치 【식욕감퇴 먹방】""",0
330,"""침착맨 팀의 X맨은 누구? -  X-MAN of LEGION""",1
331,"""고양이와 기생수 그리고 광기""",0
332,"""영리메 - 08화 태산 전투 / 09화 하구 전투 / 10화 팽성 전투""",0
333,"""'무협의 과학' 특강 | 주변에서 찾아보는 무협의 과학""",1
334,"""【살육의천사】 EP.3 지하 2층의 신부... 그것이 알고싶다""",0
335,"""희대의 라이벌 월드컵""",1
336,"""【침펄풍】 감명 깊게 읽은 동화 월드컵""",1
337,"""이젠 공성도 비스포크로""",1
338,"""항상 놀 계획을 짜는 게 가장 재밌다""",1
339,"""옆에서 밥 먹고 있는데 밥맛 떨어지게 더러운 이야기하기""",1
340,"""상업유튜버""",1
341,"""이렇게 하면 주식도 망하고 방송도 망한다""",0
342,"""【던전앤드래곤】 침전사 X 펄사제 X 풍드워프의 모험 (Full)""",0
343,"""밀린 택배 까기 (어린이날에 선물 받아 신난 침&펄)""",0
344,"""🎙️침터뷰 | 카더가든 편 - 말하는 걸 보면 노래가 상상이 안되는 가수""",0
345,"""끝없이 큰 것부터 가장 작은 것까지 비교하는 '우주의 규모'""",1
346,"""【침착맨X주호민X김풍】 김풍이 직접 뽑는 김풍 월드컵""",0
347,"""방송용 마이크 쇼핑""",0
348,"""침착맨의 싯다운 코미디""",0
349,"""이카리 신지처럼 행동하는 법""",1
350,"""【침펄풍】 감명 깊게 읽은 동화 월드컵""",1
351,"""일일DJ 김풍의 세계 최강 괴식 월드컵""",1
352,"""침착면의 작은 컵라면 4종 폭식""",0
353,"""버거 이름을 아이스버거로 바꾸세요""",0
354,"""'누리호의 과학' 특강 | 누리호의 성공 분석""",0
355,"""침착맨이 수능을 풀면 몇 점을 받을까? 병건수능""",1
356,"""구찌의자 쇼핑 후기""",1
357,"""풍형의 추억과 함께하는 맘스터치 먹방""",1
358,"""대항해시대 4 | 제21화 음흉한 장사꾼, 쿤""",0
359,"""돌아온 고마운 최고민수""",1
360,"""최악의 음식 조합 월드컵""",1
361,"""침&펄 팬아트 감상회""",1
362,"""KZ 튀김오소리 & 철면수심 봇듀오 출격""",0
363,"""제1회 전장 으깨기리그""",1
364,"""납량특집 극혐 요괴 월드컵""",1
365,"""제로떡볶이는 가능한가""",1
366,"""싸쏘 듀오의 닭곰탕 먹방""",1
367,"""자낳대 팀 결성 후 첫 연습, 이들의 호흡은 과연??""",0
368,"""리그 출범 시범경기 | 침착맨 vs 매직박 04.22 | §전장 으깨기 리그§""",0
369,"""캐리비안의 해적 (Pirates of the Caribbean) 시리즈 감상회""",0
370,"""【왕날편】 19/08/13 연애하다 환승을 당했다면 환승비 300원을 받아보는 건 어떨까요?""",0
371,"""무슨 말만 해도 웃는 래퍼 펀치넬로 초대석""",1
372,"""음식은 하나인데 둘이 배부르다? 단식세나 & 폭식두꺼비""",0
373,"""3초간 눈 마주쳤을 때 싸움을 피하는 법""",1
374,"""차돌짬뽕 청문회""",1
375,"""【침착맨】 안산친구 김강현 씨, 김지운 씨 초대석 (손금강좌)""",0
376,"""대항해시대 4 | 제2화 새 동료를 찾아서""",0
377,"""최후의 승자가 진정한 승자""",1
378,"""특이점이 온 젤리 쇼핑""",1
379,"""현실까지 넘어 온 인터넷 신조어 월드컵""",1
380,"""진짜 나와버린 철면수심 차돌짬뽕""",1
381,"""무협지 사조삼부곡(射雕三部曲) 설명회""",1
382,"""철면수심의 최신 전장 원포인트 강좌""",0
383,"""무협지 사조삼부곡(射雕三部曲) 설명회""",1
384,"""【침펄풍】 이제는 너무 뻔한 클리셰 월드컵""",1
385,"""어쩔티비""",1
386,"""끝없이 큰 것부터 가장 작은 것까지 비교하는 '우주의 규모'""",1
387,"""삼국지 대체 역사 소설 월드컵""",1
388,"""3초간 눈 마주쳤을 때 싸움을 피하는 법""",1
389,"""단, 한 명의 마피아를 찾아라 (배도라지 마피아)""",0
390,"""침착맨 좋아한다고 하면 안 되는 이유""",1
391,"""최후의 승자가 진정한 승자""",1
392,"""계속되는 토크와 야추다이스 대결""",1
393,"""신개념 사업 구상: 가루 삼겹살""",1
394,"""쉽게 질리는 음식 월드컵""",1
395,"""살면서 무조건 듣게 되는 소리""",1
396,"""【츄첼】 아기자기하게 기괴한 정신병 어드벤처 #1""",0
397,"""【침&펄】 이말년이 알려주는 쥐 그리는 법""",0
398,"""무능한 임포스터들 (AMONG US)""",0
399,"""침착맨과 함께하는 G식백과 '게임은 문화다' 캠페인""",0
400,"""매력있는 악역/악당 월드컵""",1
401,"""침착한 편식가 - 1화 ""롤"" 편 (完)""",0
402,"""메신저 신드롬 | 인턴으로 회사에서 살아남는 게임""",0
403,"""침빠곽 여행 가고 싶은 나라 순위 정하기""",1
404,"""김풍의 눈으로 본 장항준 감독님""",0
405,"""침&펄이 제작하고 싶은 영화 장르 월드컵""",1
406,"""금연과 흡연부스에 대해""",1
407,"""【침터뷰/김도 편】 하이라이트""",0
408,"""【침터뷰/김성모 편】 2부 - 김성모 만화의 명장면은 이렇게 탄생됐다?""",0
409,"""침착맨 삼국지 여포전""",1
410,"""일일DJ 김풍의 세계 최강 괴식 월드컵""",1
411,"""MBC 침착한 주말 유종의 미""",0
412,"""끝없이 큰 것부터 가장 작은 것까지 비교하는 '우주의 규모'""",1
413,"""기안과 미니스톱 넓적다리""",1
414,"""곰탕 라면""",0
415,"""우주의 먼지를 담은 콜라""",0
416,"""슈퍼카 쇼핑""",1
417,"""옆에서 밥 먹고 있는데 밥맛 떨어지게 더러운 이야기하기""",1
418,"""코딩 도전""",1
419,"""【마블삼국지】 8화 - 촉나라 생활기""",0
420,"""특이점이 온 젤리 쇼핑""",1
421,"""요트 쇼핑""",1
422,"""파랜드 택틱스 | 제6화 검은 바람""",0
423,"""대항해시대 4 | 제24화 동아시아의 패자""",0
424,"""능지게임의 탈을 쓴 광고 재생기 【브레인 아웃】""",0
425,"""대학원 다니는 부엉이""",1
426,"""소소하게 싸움나는 음식 먹는 방법 월드컵""",1
427,"""침&펄 청와대 구경하기""",1
428,"""역전재판 말고 고전재판""",0
429,"""민트초코로 호들갑 떠는 게 싫다고 했던 사람""",1
430,"""【다이어트 먹방 - 침X펄】 시뻘건 떡볶이와 시뻘건 우동""",0
431,"""실버 솔랭에서 오더라는 것을 해봄""",1
432,"""애니 속 최강의 기술을 찾는다! 애니 속 기술 월드컵""",0
433,"""가수 비비 초대석""",0
434,"""고덕천 산책""",0
435,"""AOMG 박재범 & DJ Wegun 초대석""",0
436,"""【왕날편】 19/09/24 ""허언증 특집""  중국에서 온 편지 (from.부대룡)""",0
437,"""침착맨 삼국지 동탁전""",1
438,"""【마블삼국지】 7화 - 대기업으로 이직하는 병궈""",0
439,"""중세에서 살아남는 게임 【Mount & Blade】 맛보기""",0
440,"""침착맨 노래방 | 신현규, 박사준, 김기동 지인 특집 '졸업' 외 23곡""",0
441,"""꼴찌는 가랑이 사이로 기어가기""",1
442,"""한국 마술 공모전 월드컵: 뉴노멀 부문""",1
443,"""나는 왜 또 다시 지각을 하였는가? (+주호민 평전)""",0
444,"""집에 가고 싶은 사람 vs 집에 가기 싫은 사람""",0
445,"""어색한 모임에서 친해지는 법""",1
446,"""미연시의 탈을 쓴 다큐멘터리""",1
447,"""맨유 팬에게 축구선수 카드 팔기""",0
448,"""끝없이 큰 것부터 가장 작은 것까지 비교하는 '우주의 규모'""",1
449,"""제1회 침투부배 천하제일 무술대회""",0
450,"""흑표범 밍키가 새 식구로 들어오다""",1
451,"""시청자가 알려주는 탁구 설명회""",1
452,"""모단호수 알통구보 작전 - 침펄놈의 대모험 2화""",0
